Epoch: [2][100/632], 	Time 0.090 (0.101)	Data 0.000 (0.010)	Loss 0.1226 (0.1367)	Precision 0.750 (0.601)	Recall 1.000 (0.835)	mAP 0.944 (0.900)
Epoch: [2][120/632], 	Time 0.091 (0.099)	Data 0.000 (0.009)	Loss 0.0786 (0.1346)	Precision 0.883 (0.614)	Recall 1.000 (0.840)	mAP 0.983 (0.901)
Epoch: [2][140/632], 	Time 0.098 (0.098)	Data 0.000 (0.007)	Loss 0.1445 (0.1343)	Precision 0.569 (0.619)	Recall 0.917 (0.840)	mAP 0.856 (0.900)
Epoch: [2][160/632], 	Time 0.092 (0.097)	Data 0.000 (0.006)	Loss 0.0833 (0.1333)	Precision 0.587 (0.621)	Recall 0.800 (0.842)	mAP 1.000 (0.900)
Epoch: [2][180/632], 	Time 0.096 (0.097)	Data 0.000 (0.006)	Loss 0.1197 (0.1332)	Precision 0.583 (0.623)	Recall 0.857 (0.846)	mAP 1.000 (0.900)
Epoch: [2][200/632], 	Time 0.092 (0.096)	Data 0.000 (0.005)	Loss 0.1365 (0.1336)	Precision 0.635 (0.623)	Recall 0.875 (0.845)	mAP 0.875 (0.899)
Epoch: [2][220/632], 	Time 0.092 (0.096)	Data 0.000 (0.005)	Loss 0.1894 (0.1343)	Precision 0.756 (0.625)	Recall 0.750 (0.843)	mAP 0.853 (0.896)
Epoch: [2][240/632], 	Time 0.092 (0.095)	Data 0.000 (0.004)	Loss 0.0864 (0.1348)	Precision 0.684 (0.621)	Recall 1.000 (0.842)	mAP 1.000 (0.896)
Epoch: [2][260/632], 	Time 0.091 (0.095)	Data 0.000 (0.004)	Loss 0.0978 (0.1342)	Precision 0.722 (0.620)	Recall 0.833 (0.842)	mAP 0.917 (0.898)
Epoch: [2][280/632], 	Time 0.092 (0.095)	Data 0.000 (0.004)	Loss 0.1323 (0.1345)	Precision 0.725 (0.624)	Recall 1.000 (0.842)	mAP 0.990 (0.898)
Epoch: [2][300/632], 	Time 0.099 (0.095)	Data 0.000 (0.004)	Loss 0.1764 (0.1351)	Precision 0.383 (0.623)	Recall 0.625 (0.841)	mAP 0.781 (0.899)
Epoch: [2][320/632], 	Time 0.099 (0.095)	Data 0.000 (0.003)	Loss 0.1592 (0.1348)	Precision 0.800 (0.625)	Recall 0.800 (0.843)	mAP 0.900 (0.900)
Epoch: [2][340/632], 	Time 0.092 (0.095)	Data 0.000 (0.003)	Loss 0.1233 (0.1344)	Precision 0.667 (0.628)	Recall 1.000 (0.843)	mAP 0.843 (0.902)
Epoch: [2][360/632], 	Time 0.094 (0.094)	Data 0.000 (0.003)	Loss 0.1031 (0.1345)	Precision 0.792 (0.630)	Recall 1.000 (0.841)	mAP 1.000 (0.902)
Epoch: [2][380/632], 	Time 0.092 (0.094)	Data 0.000 (0.003)	Loss 0.1210 (0.1339)	Precision 0.614 (0.631)	Recall 0.857 (0.842)	mAP 0.929 (0.903)
Epoch: [2][400/632], 	Time 0.092 (0.094)	Data 0.000 (0.003)	Loss 0.1255 (0.1343)	Precision 0.560 (0.633)	Recall 0.857 (0.843)	mAP 1.000 (0.902)
Epoch: [2][420/632], 	Time 0.093 (0.094)	Data 0.000 (0.003)	Loss 0.1268 (0.1337)	Precision 0.602 (0.634)	Recall 0.889 (0.843)	mAP 0.889 (0.903)
Epoch: [2][440/632], 	Time 0.091 (0.094)	Data 0.000 (0.002)	Loss 0.1967 (0.1337)	Precision 0.600 (0.636)	Recall 0.767 (0.844)	mAP 0.838 (0.903)
Epoch: [2][460/632], 	Time 0.092 (0.094)	Data 0.000 (0.002)	Loss 0.1096 (0.1333)	Precision 0.524 (0.636)	Recall 0.929 (0.846)	mAP 1.000 (0.904)
Epoch: [2][480/632], 	Time 0.091 (0.094)	Data 0.000 (0.002)	Loss 0.1515 (0.1333)	Precision 0.550 (0.637)	Recall 0.800 (0.846)	mAP 0.983 (0.903)
Epoch: [2][500/632], 	Time 0.092 (0.094)	Data 0.000 (0.002)	Loss 0.1341 (0.1330)	Precision 0.667 (0.636)	Recall 0.750 (0.847)	mAP 0.833 (0.903)
Epoch: [2][520/632], 	Time 0.093 (0.094)	Data 0.000 (0.002)	Loss 0.1231 (0.1324)	Precision 0.714 (0.638)	Recall 0.857 (0.850)	mAP 0.833 (0.904)
Epoch: [2][540/632], 	Time 0.095 (0.094)	Data 0.000 (0.002)	Loss 0.0998 (0.1324)	Precision 0.611 (0.639)	Recall 1.000 (0.851)	mAP 0.917 (0.905)
Epoch: [2][560/632], 	Time 0.093 (0.094)	Data 0.000 (0.002)	Loss 0.1316 (0.1321)	Precision 0.900 (0.639)	Recall 0.792 (0.851)	mAP 0.967 (0.904)
Epoch: [2][580/632], 	Time 0.093 (0.093)	Data 0.000 (0.002)	Loss 0.1932 (0.1322)	Precision 0.750 (0.640)	Recall 0.929 (0.850)	mAP 0.886 (0.904)
Epoch: [2][600/632], 	Time 0.091 (0.093)	Data 0.000 (0.002)	Loss 0.1048 (0.1318)	Precision 0.750 (0.642)	Recall 0.875 (0.852)	mAP 1.000 (0.904)
Epoch: [2][620/632], 	Time 0.091 (0.093)	Data 0.000 (0.002)	Loss 0.0552 (0.1313)	Precision 0.556 (0.642)	Recall 1.000 (0.854)	mAP 1.000 (0.905)
Test: [0/194]	Time 0.889 (0.889)	Loss 0.2411 (0.2411)
Test: [20/194]	Time 0.028 (0.082)	Loss 0.1020 (0.1663)
Test: [40/194]	Time 0.029 (0.056)	Loss 0.1087 (0.1353)
Test: [60/194]	Time 0.029 (0.048)	Loss 0.0648 (0.1208)
Test: [80/194]	Time 0.029 (0.043)	Loss 0.0796 (0.1129)
Test: [100/194]	Time 0.028 (0.041)	Loss 0.1792 (0.1148)
Test: [120/194]	Time 0.028 (0.039)	Loss 0.1874 (0.1183)
Test: [140/194]	Time 0.029 (0.038)	Loss 0.1750 (0.1296)
Test: [160/194]	Time 0.029 (0.038)	Loss 0.0215 (0.1161)
Test: [180/194]	Time 0.027 (0.037)	Loss 0.1559 (0.1194)
Testing Results: Best Threshold 0.10, mAP: 0.6325, Loss: 0.12022
Best mAP: 0.632, Best Threshold: 0.10

Epoch: [3][0/632], 	Time 0.899 (0.899)	Data 0.845 (0.845)	Loss 0.1186 (0.1186)	Precision 0.786 (0.786)	Recall 0.857 (0.857)	mAP 1.000 (1.000)
Epoch: [3][20/632], 	Time 0.090 (0.131)	Data 0.000 (0.042)	Loss 0.1628 (0.1304)	Precision 0.352 (0.670)	Recall 0.667 (0.867)	mAP 0.759 (0.911)
Epoch: [3][40/632], 	Time 0.098 (0.113)	Data 0.000 (0.022)	Loss 0.1335 (0.1306)	Precision 0.705 (0.676)	Recall 0.786 (0.864)	mAP 0.957 (0.913)
Epoch: [3][60/632], 	Time 0.092 (0.106)	Data 0.000 (0.015)	Loss 0.1361 (0.1286)	Precision 0.524 (0.680)	Recall 0.714 (0.878)	mAP 0.940 (0.917)
Epoch: [3][80/632], 	Time 0.092 (0.102)	Data 0.000 (0.011)	Loss 0.1245 (0.1247)	Precision 0.750 (0.694)	Recall 0.800 (0.896)	mAP 0.900 (0.925)
Epoch: [3][100/632], 	Time 0.092 (0.100)	Data 0.000 (0.009)	Loss 0.1423 (0.1226)	Precision 0.542 (0.704)	Recall 0.750 (0.898)	mAP 0.792 (0.929)
Epoch: [3][120/632], 	Time 0.090 (0.099)	Data 0.000 (0.007)	Loss 0.1471 (0.1222)	Precision 0.787 (0.704)	Recall 0.900 (0.897)	mAP 0.951 (0.933)
Epoch: [3][140/632], 	Time 0.093 (0.098)	Data 0.000 (0.006)	Loss 0.1560 (0.1203)	Precision 0.500 (0.701)	Recall 0.571 (0.897)	mAP 0.810 (0.932)
Epoch: [3][160/632], 	Time 0.092 (0.097)	Data 0.000 (0.006)	Loss 0.1114 (0.1198)	Precision 0.778 (0.705)	Recall 1.000 (0.899)	mAP 1.000 (0.932)
Epoch: [3][180/632], 	Time 0.089 (0.097)	Data 0.000 (0.005)	Loss 0.1075 (0.1209)	Precision 0.633 (0.707)	Recall 0.833 (0.893)	mAP 0.908 (0.932)
Epoch: [3][200/632], 	Time 0.094 (0.096)	Data 0.000 (0.005)	Loss 0.0965 (0.1190)	Precision 0.800 (0.710)	Recall 1.000 (0.898)	mAP 1.000 (0.934)
Epoch: [3][220/632], 	Time 0.092 (0.096)	Data 0.000 (0.004)	Loss 0.0733 (0.1191)	Precision 0.800 (0.711)	Recall 1.000 (0.896)	mAP 0.967 (0.934)
Epoch: [3][240/632], 	Time 0.092 (0.096)	Data 0.000 (0.004)	Loss 0.0499 (0.1183)	Precision 0.792 (0.711)	Recall 1.000 (0.895)	mAP 1.000 (0.934)
Epoch: [3][260/632], 	Time 0.092 (0.095)	Data 0.000 (0.003)	Loss 0.0991 (0.1186)	Precision 0.750 (0.708)	Recall 1.000 (0.893)	mAP 1.000 (0.933)
Epoch: [3][280/632], 	Time 0.095 (0.095)	Data 0.000 (0.003)	Loss 0.1204 (0.1187)	Precision 0.778 (0.707)	Recall 0.889 (0.894)	mAP 0.907 (0.933)
Epoch: [3][300/632], 	Time 0.093 (0.095)	Data 0.000 (0.003)	Loss 0.1363 (0.1188)	Precision 0.750 (0.711)	Recall 0.778 (0.895)	mAP 1.000 (0.933)
Epoch: [3][320/632], 	Time 0.094 (0.095)	Data 0.000 (0.003)	Loss 0.0536 (0.1189)	Precision 0.850 (0.710)	Recall 1.000 (0.894)	mAP 1.000 (0.933)
Epoch: [3][340/632], 	Time 0.091 (0.095)	Data 0.000 (0.003)	Loss 0.1244 (0.1186)	Precision 0.667 (0.712)	Recall 0.833 (0.894)	mAP 0.861 (0.932)
Epoch: [3][360/632], 	Time 0.093 (0.095)	Data 0.000 (0.003)	Loss 0.1206 (0.1183)	Precision 0.833 (0.714)	Recall 1.000 (0.896)	mAP 0.905 (0.931)
Epoch: [3][380/632], 	Time 0.093 (0.094)	Data 0.000 (0.002)	Loss 0.0866 (0.1188)	Precision 0.833 (0.712)	Recall 1.000 (0.893)	mAP 1.000 (0.930)
Epoch: [3][400/632], 	Time 0.093 (0.094)	Data 0.000 (0.002)	Loss 0.0659 (0.1186)	Precision 0.833 (0.711)	Recall 1.000 (0.894)	mAP 1.000 (0.931)
Epoch: [3][420/632], 	Time 0.099 (0.094)	Data 0.000 (0.002)	Loss 0.0706 (0.1185)	Precision 0.900 (0.712)	Recall 1.000 (0.894)	mAP 1.000 (0.932)
Epoch: [3][440/632], 	Time 0.092 (0.094)	Data 0.000 (0.002)	Loss 0.1383 (0.1182)	Precision 0.880 (0.714)	Recall 0.933 (0.895)	mAP 0.940 (0.932)
Epoch: [3][460/632], 	Time 0.092 (0.094)	Data 0.000 (0.002)	Loss 0.1153 (0.1177)	Precision 0.971 (0.717)	Recall 0.929 (0.897)	mAP 0.952 (0.932)
Epoch: [3][480/632], 	Time 0.091 (0.094)	Data 0.000 (0.002)	Loss 0.1544 (0.1175)	Precision 0.722 (0.718)	Recall 0.833 (0.895)	mAP 1.000 (0.933)
Epoch: [3][500/632], 	Time 0.099 (0.094)	Data 0.000 (0.002)	Loss 0.0880 (0.1176)	Precision 0.720 (0.718)	Recall 1.000 (0.896)	mAP 0.900 (0.933)
Epoch: [3][520/632], 	Time 0.093 (0.094)	Data 0.000 (0.002)	Loss 0.1037 (0.1180)	Precision 0.736 (0.719)	Recall 0.917 (0.895)	mAP 0.958 (0.932)
Epoch: [3][540/632], 	Time 0.093 (0.094)	Data 0.000 (0.002)	Loss 0.1436 (0.1178)	Precision 0.457 (0.717)	Recall 0.643 (0.895)	mAP 0.738 (0.932)
Epoch: [3][560/632], 	Time 0.095 (0.094)	Data 0.000 (0.002)	Loss 0.1074 (0.1174)	Precision 0.619 (0.718)	Recall 0.857 (0.895)	mAP 0.857 (0.931)
Epoch: [3][580/632], 	Time 0.094 (0.094)	Data 0.000 (0.002)	Loss 0.1388 (0.1167)	Precision 0.583 (0.719)	Recall 0.812 (0.897)	mAP 1.000 (0.932)
Epoch: [3][600/632], 	Time 0.093 (0.094)	Data 0.000 (0.002)	Loss 0.1914 (0.1166)	Precision 0.700 (0.719)	Recall 0.700 (0.895)	mAP 0.800 (0.932)
Epoch: [3][620/632], 	Time 0.091 (0.094)	Data 0.000 (0.002)	Loss 0.1009 (0.1164)	Precision 0.760 (0.719)	Recall 0.960 (0.894)	mAP 0.993 (0.932)
Test: [0/194]	Time 0.762 (0.762)	Loss 0.2071 (0.2071)
Test: [20/194]	Time 0.029 (0.065)	Loss 0.0723 (0.1498)
Test: [40/194]	Time 0.028 (0.047)	Loss 0.0897 (0.1217)
